Location,Date_Time,Date,Hour,Month,Hour.deci,Win.speed,Wind_Direction,Temperature,Rain_Actual,Bat_Occurrence
SM4-A,9/1/2023 18:00,1/9/2023,18:00,9,18,4.15,241.19,28.33,0.1,60
SM4-A,9/1/2023 19:00,1/9/2023,19:00,9,19,3.55,203.26,28.91,2.8,10
SM4-A,9/1/2023 20:00,1/9/2023,20:00,9,20,3.43,186.44,28.83,0.4,9
SM4-A,9/1/2023 21:00,1/9/2023,21:00,9,21,5.67,180.29,28.39,0.7,9
SM4-A,9/1/2023 22:00,1/9/2023,22:00,9,22,6.47,178.13,28.01,0,1
SM4-A,9/2/2023 1:00,2/9/2023,1:00,9,1,4.56,182.31,28.97,0,6
SM4-A,9/2/2023 2:00,2/9/2023,2:00,9,2,4.77,183.03,29.29,0,6
SM4-A,9/2/2023 3:00,2/9/2023,3:00,9,3,4.95,189.34,29.19,0,7
SM4-A,9/2/2023 4:00,2/9/2023,4:00,9,4,3.46,188.04,29.01,0,2
SM4-A,9/2/2023 5:00,2/9/2023,5:00,9,5,3.38,183.66,28.07,0,1
SM4-A,9/7/2023 18:00,7/9/2023,18:00,9,18,7.15,157.14,28.7,0,12
SM4-A,9/7/2023 19:00,7/9/2023,19:00,9,19,7.43,166.9,28.41,0,11
SM4-A,9/7/2023 20:00,7/9/2023,20:00,9,20,5.96,167.66,28.47,0,13
SM4-A,9/7/2023 21:00,7/9/2023,21:00,9,21,6.52,169.23,28.47,0,4
SM4-A,9/7/2023 22:00,7/9/2023,22:00,9,22,5.73,168.53,28.35,0,2
SM4-A,9/7/2023 23:00,7/9/2023,23:00,9,23,5.2,168.28,28.23,0,6
SM4-A,9/8/2023 0:00,8/9/2023,0:00,9,0,4.97,176.2,28.43,0,13
SM4-A,9/8/2023 1:00,8/9/2023,1:00,9,1,4.92,175.66,28.59,0,15
SM4-A,9/8/2023 2:00,8/9/2023,2:00,9,2,3.55,188.75,28.68,0,45
SM4-A,9/8/2023 3:00,8/9/2023,3:00,9,3,4.14,176.24,28.95,0,6
SM4-A,9/8/2023 4:00,8/9/2023,4:00,9,4,4.23,170.93,29.31,0,6
SM4-A,9/8/2023 18:00,8/9/2023,18:00,9,18,4.39,180.29,29.56,0,32
SM4-A,9/8/2023 19:00,8/9/2023,19:00,9,19,2.61,214.81,29.56,0,44
SM4-A,9/8/2023 20:00,8/9/2023,20:00,9,20,0.76,221,29.07,0,43
SM4-A,9/8/2023 21:00,8/9/2023,21:00,9,21,1.61,183.62,28.99,0,20
SM4-A,9/8/2023 22:00,8/9/2023,22:00,9,22,1.76,179.59,29.16,0,26
SM4-A,9/8/2023 23:00,8/9/2023,23:00,9,23,1.03,204.29,29.17,0,41
SM4-A,9/9/2023 0:00,9/9/2023,0:00,9,0,2.45,188.77,29.09,0,31
SM4-A,9/9/2023 1:00,9/9/2023,1:00,9,1,2.43,183.8,29.5,0,19
SM4-A,9/9/2023 2:00,9/9/2023,2:00,9,2,3.4,169.64,29.89,0,12
SM4-A,9/9/2023 3:00,9/9/2023,3:00,9,3,5.57,171.24,29.62,0,2
SM4-A,9/9/2023 4:00,9/9/2023,4:00,9,4,5.39,173.41,29.27,0,5
SM4-A,9/9/2023 5:00,9/9/2023,5:00,9,5,5.88,168.33,28.21,0,2
SM4-A,9/9/2023 18:00,9/9/2023,18:00,9,18,5.96,180.84,28.21,0,26
