ST.Date.H,A_Win.speed,A_Occurrence,B_ST.Date.H,B_Win.speed,B_Occurrence,C_ST.Date.H,C_Win.speed,C_Occurrence,D_ST.Date.H,D_Win.speed,D_Occurrence
SM4-A.2023-09-01 18:00:00,4.15,60,SM4-B.2023-09-01 18:00:00,2.53,19,SM4-C.2023-09-01 18:00:00,3.75,83,SM4-D.2023-09-01 18:00:00,5.01,99
SM4-A.2023-09-01 19:00:00,3.55,10,SM4-B.2023-09-01 19:00:00,3.51,16,SM4-C.2023-09-01 19:00:00,5.2,14,SM4-D.2023-09-01 19:00:00,4.73,33
SM4-A.2023-09-01 20:00:00,3.43,9,SM4-B.2023-09-01 20:00:00,4.57,84,SM4-C.2023-09-01 20:00:00,5.6,6,SM4-D.2023-09-01 20:00:00,5.42,25
SM4-A.2023-09-01 21:00:00,5.67,9,SM4-B.2023-09-01 21:00:00,6.19,37,SM4-C.2023-09-01 21:00:00,6.99,8,SM4-D.2023-09-01 21:00:00,6.98,13
SM4-A.2023-09-01 22:00:00,6.47,1,SM4-B.2023-09-01 22:00:00,7.23,29,SM4-C.2023-09-01 22:00:00,5.85,2,SM4-D.2023-09-01 22:00:00,7.16,5
SM4-A.2023-09-01 23:00:00,5.27,0,SM4-B.2023-09-01 23:00:00,6,11,SM4-C.2023-09-01 23:00:00,5.79,1,SM4-D.2023-09-01 23:00:00,5.65,3
SM4-A.2023-09-02,4.68,0,SM4-B.2023-09-02,4.22,6,SM4-C.2023-09-02,4.35,3,SM4-D.2023-09-02,3.73,3
SM4-A.2023-09-02 01:00:00,4.56,6,SM4-B.2023-09-02 01:00:00,4.95,3,SM4-C.2023-09-02 01:00:00,4.75,4,SM4-D.2023-09-02 01:00:00,4.67,6
SM4-A.2023-09-02 02:00:00,4.77,6,SM4-B.2023-09-02 02:00:00,4.9,7,SM4-C.2023-09-02 02:00:00,5.57,8,SM4-D.2023-09-02 02:00:00,5.7,7
SM4-A.2023-09-02 03:00:00,4.95,7,SM4-B.2023-09-02 03:00:00,5.01,15,SM4-C.2023-09-02 03:00:00,5.48,3,SM4-D.2023-09-02 03:00:00,5.79,7
SM4-A.2023-09-02 04:00:00,3.46,2,SM4-B.2023-09-02 04:00:00,4.38,19,SM4-C.2023-09-02 04:00:00,5.58,2,SM4-D.2023-09-02 04:00:00,5.27,13
SM4-A.2023-09-02 05:00:00,3.38,1,SM4-B.2023-09-02 05:00:00,4.91,0,SM4-C.2023-09-02 05:00:00,6.62,0,SM4-D.2023-09-02 05:00:00,5.13,5
SM4-A.2023-09-02 06:00:00,3.43,0,SM4-B.2023-09-02 06:00:00,4.42,0,SM4-C.2023-09-02 06:00:00,6.09,0,SM4-D.2023-09-02 06:00:00,5.35,0
SM4-A.2023-09-02 07:00:00,4.21,0,SM4-B.2023-09-02 07:00:00,4.95,0,SM4-C.2023-09-02 07:00:00,5.68,0,SM4-D.2023-09-02 07:00:00,5.58,0
SM4-A.2023-09-02 08:00:00,5.47,0,SM4-B.2023-09-02 08:00:00,6.27,0,SM4-C.2023-09-02 08:00:00,7.59,0,SM4-D.2023-09-02 08:00:00,6.67,0
SM4-A.2023-09-02 09:00:00,5.82,0,SM4-B.2023-09-02 09:00:00,6.57,0,SM4-C.2023-09-02 09:00:00,7.28,0,SM4-D.2023-09-02 09:00:00,7.17,0
SM4-A.2023-09-02 10:00:00,5.83,0,SM4-B.2023-09-02 10:00:00,6.5,0,SM4-C.2023-09-02 10:00:00,7.31,0,SM4-D.2023-09-02 10:00:00,6.64,0
SM4-A.2023-09-02 11:00:00,10.38,0,SM4-B.2023-09-02 11:00:00,9.85,0,SM4-C.2023-09-02 11:00:00,9.39,0,SM4-D.2023-09-02 11:00:00,9.24,0
SM4-A.2023-09-02 12:00:00,9.24,0,SM4-B.2023-09-02 12:00:00,8.8,0,SM4-C.2023-09-02 12:00:00,10.85,0,SM4-D.2023-09-02 12:00:00,10.54,0
SM4-A.2023-09-02 13:00:00,10.28,0,SM4-B.2023-09-02 13:00:00,11.18,0,SM4-C.2023-09-02 13:00:00,11.45,0,SM4-D.2023-09-02 13:00:00,11.68,0
SM4-A.2023-09-02 14:00:00,8.94,0,SM4-B.2023-09-02 14:00:00,8.41,0,SM4-C.2023-09-02 14:00:00,10.02,0,SM4-D.2023-09-02 14:00:00,10.47,0
SM4-A.2023-09-02 15:00:00,7.75,0,SM4-B.2023-09-02 15:00:00,6.81,0,SM4-C.2023-09-02 15:00:00,9.06,0,SM4-D.2023-09-02 15:00:00,7.21,0
SM4-A.2023-09-02 16:00:00,6.5,0,SM4-B.2023-09-02 16:00:00,6.48,0,SM4-C.2023-09-02 16:00:00,7.36,0,SM4-D.2023-09-02 16:00:00,6.62,0
SM4-A.2023-09-02 17:00:00,6.81,0,SM4-B.2023-09-02 17:00:00,7.38,0,SM4-C.2023-09-02 17:00:00,8.99,0,SM4-D.2023-09-02 17:00:00,7.71,0
SM4-A.2023-09-02 18:00:00,6.23,0,SM4-B.2023-09-02 18:00:00,7.46,0,SM4-C.2023-09-02 18:00:00,8.23,0,SM4-D.2023-09-02 18:00:00,6.91,0
SM4-A.2023-09-02 19:00:00,5.75,0,SM4-B.2023-09-02 19:00:00,6.43,0,SM4-C.2023-09-02 19:00:00,7.96,0,SM4-D.2023-09-02 19:00:00,6.59,0
SM4-A.2023-09-02 20:00:00,5.92,0,SM4-B.2023-09-02 20:00:00,6.41,0,SM4-C.2023-09-02 20:00:00,7.83,0,SM4-D.2023-09-02 20:00:00,6.56,0
SM4-A.2023-09-02 21:00:00,4.65,0,SM4-B.2023-09-02 21:00:00,5.01,0,SM4-C.2023-09-02 21:00:00,5.28,0,SM4-D.2023-09-02 21:00:00,5.36,0
SM4-A.2023-09-02 22:00:00,6.66,0,SM4-B.2023-09-02 22:00:00,6.98,0,SM4-C.2023-09-02 22:00:00,6.46,0,SM4-D.2023-09-02 22:00:00,6.86,0
SM4-A.2023-09-02 23:00:00,6.97,0,SM4-B.2023-09-02 23:00:00,6.96,0,SM4-C.2023-09-02 23:00:00,8.75,0,SM4-D.2023-09-02 23:00:00,7.09,0
SM4-A.2023-09-03,6.12,0,SM4-B.2023-09-03,6.9,0,SM4-C.2023-09-03,9.55,0,SM4-D.2023-09-03,7.28,0
SM4-A.2023-09-03 01:00:00,4.14,0,SM4-B.2023-09-03 01:00:00,4.13,0,SM4-C.2023-09-03 01:00:00,6.57,0,SM4-D.2023-09-03 01:00:00,5.07,0
SM4-A.2023-09-03 02:00:00,3.47,0,SM4-B.2023-09-03 02:00:00,3.89,0,SM4-C.2023-09-03 02:00:00,5.13,0,SM4-D.2023-09-03 02:00:00,4.75,0
SM4-A.2023-09-03 03:00:00,5.59,0,SM4-B.2023-09-03 03:00:00,6.77,0,SM4-C.2023-09-03 03:00:00,7.59,0,SM4-D.2023-09-03 03:00:00,7.26,0
SM4-A.2023-09-03 04:00:00,6.55,0,SM4-B.2023-09-03 04:00:00,7.61,0,SM4-C.2023-09-03 04:00:00,8.03,0,SM4-D.2023-09-03 04:00:00,6.92,0
SM4-A.2023-09-03 05:00:00,6.12,0,SM4-B.2023-09-03 05:00:00,6.77,0,SM4-C.2023-09-03 05:00:00,7.63,0,SM4-D.2023-09-03 05:00:00,5.11,0
SM4-A.2023-09-03 06:00:00,6.72,0,SM4-B.2023-09-03 06:00:00,7.34,0,SM4-C.2023-09-03 06:00:00,8.61,0,SM4-D.2023-09-03 06:00:00,5.82,0
SM4-A.2023-09-03 07:00:00,5.15,0,SM4-B.2023-09-03 07:00:00,5.83,0,SM4-C.2023-09-03 07:00:00,7.22,0,SM4-D.2023-09-03 07:00:00,6.03,0
SM4-A.2023-09-03 08:00:00,4.86,0,SM4-B.2023-09-03 08:00:00,5.15,0,SM4-C.2023-09-03 08:00:00,6.06,0,SM4-D.2023-09-03 08:00:00,6.14,0
SM4-A.2023-09-03 09:00:00,8.21,0,SM4-B.2023-09-03 09:00:00,7.82,0,SM4-C.2023-09-03 09:00:00,7.49,0,SM4-D.2023-09-03 09:00:00,8.65,0
SM4-A.2023-09-03 10:00:00,7.79,0,SM4-B.2023-09-03 10:00:00,7.1,0,SM4-C.2023-09-03 10:00:00,7.16,0,SM4-D.2023-09-03 10:00:00,8.31,0
SM4-A.2023-09-03 11:00:00,9.11,0,SM4-B.2023-09-03 11:00:00,8.3,0,SM4-C.2023-09-03 11:00:00,8.2,0,SM4-D.2023-09-03 11:00:00,7.35,0
SM4-A.2023-09-03 12:00:00,9.78,0,SM4-B.2023-09-03 12:00:00,9.5,0,SM4-C.2023-09-03 12:00:00,9.3,0,SM4-D.2023-09-03 12:00:00,10.34,0
SM4-A.2023-09-03 13:00:00,10.69,0,SM4-B.2023-09-03 13:00:00,11.64,0,SM4-C.2023-09-03 13:00:00,12.77,0,SM4-D.2023-09-03 13:00:00,10.76,0
SM4-A.2023-09-03 14:00:00,11.89,0,SM4-B.2023-09-03 14:00:00,11.87,0,SM4-C.2023-09-03 14:00:00,13.99,0,SM4-D.2023-09-03 14:00:00,11.63,0
SM4-A.2023-09-03 15:00:00,11.65,0,SM4-B.2023-09-03 15:00:00,11.48,0,SM4-C.2023-09-03 15:00:00,11.8,0,SM4-D.2023-09-03 15:00:00,11.13,0
SM4-A.2023-09-03 16:00:00,6.03,0,SM4-B.2023-09-03 16:00:00,7.38,0,SM4-C.2023-09-03 16:00:00,10.3,0,SM4-D.2023-09-03 16:00:00,10.84,0
SM4-A.2023-09-03 17:00:00,6.21,0,SM4-B.2023-09-03 17:00:00,6.51,0,SM4-C.2023-09-03 17:00:00,9.14,0,SM4-D.2023-09-03 17:00:00,6.79,0
SM4-A.2023-09-03 18:00:00,7.22,0,SM4-B.2023-09-03 18:00:00,7.74,0,SM4-C.2023-09-03 18:00:00,9.09,0,SM4-D.2023-09-03 18:00:00,6.66,0
SM4-A.2023-09-03 19:00:00,5.09,0,SM4-B.2023-09-03 19:00:00,6.2,0,SM4-C.2023-09-03 19:00:00,6.62,0,SM4-D.2023-09-03 19:00:00,6.62,0
SM4-A.2023-09-03 20:00:00,6.45,0,SM4-B.2023-09-03 20:00:00,6.26,0,SM4-C.2023-09-03 20:00:00,8.08,0,SM4-D.2023-09-03 20:00:00,6.59,0
SM4-A.2023-09-03 21:00:00,4.29,0,SM4-B.2023-09-03 21:00:00,4.72,0,SM4-C.2023-09-03 21:00:00,5.33,0,SM4-D.2023-09-03 21:00:00,6.02,0
SM4-A.2023-09-03 22:00:00,4.57,0,SM4-B.2023-09-03 22:00:00,5.08,0,SM4-C.2023-09-03 22:00:00,5.82,0,SM4-D.2023-09-03 22:00:00,5.52,0
SM4-A.2023-09-03 23:00:00,6.15,0,SM4-B.2023-09-03 23:00:00,5.62,0,SM4-C.2023-09-03 23:00:00,7.84,0,SM4-D.2023-09-03 23:00:00,8.37,0
SM4-A.2023-09-04,6.53,0,SM4-B.2023-09-04,6.3,0,SM4-C.2023-09-04,7.95,0,SM4-D.2023-09-04,7.62,0
SM4-A.2023-09-04 01:00:00,5.59,0,SM4-B.2023-09-04 01:00:00,5.84,0,SM4-C.2023-09-04 01:00:00,6.41,0,SM4-D.2023-09-04 01:00:00,5.56,0
SM4-A.2023-09-04 02:00:00,6.4,0,SM4-B.2023-09-04 02:00:00,6.23,0,SM4-C.2023-09-04 02:00:00,5.74,0,SM4-D.2023-09-04 02:00:00,6.88,0
SM4-A.2023-09-04 03:00:00,5.94,0,SM4-B.2023-09-04 03:00:00,6.01,0,SM4-C.2023-09-04 03:00:00,6.42,0,SM4-D.2023-09-04 03:00:00,6.32,0
SM4-A.2023-09-04 04:00:00,6.17,0,SM4-B.2023-09-04 04:00:00,7.55,0,SM4-C.2023-09-04 04:00:00,7.93,0,SM4-D.2023-09-04 04:00:00,6.24,0
SM4-A.2023-09-04 05:00:00,4.66,0,SM4-B.2023-09-04 05:00:00,5.04,0,SM4-C.2023-09-04 05:00:00,6.01,0,SM4-D.2023-09-04 05:00:00,6.43,0
SM4-A.2023-09-04 06:00:00,7.89,0,SM4-B.2023-09-04 06:00:00,8.59,0,SM4-C.2023-09-04 06:00:00,8.64,0,SM4-D.2023-09-04 06:00:00,6.64,0
SM4-A.2023-09-04 07:00:00,6.19,0,SM4-B.2023-09-04 07:00:00,6.73,0,SM4-C.2023-09-04 07:00:00,6.13,0,SM4-D.2023-09-04 07:00:00,6.54,0
SM4-A.2023-09-04 08:00:00,6.33,0,SM4-B.2023-09-04 08:00:00,7.17,0,SM4-C.2023-09-04 08:00:00,7.93,0,SM4-D.2023-09-04 08:00:00,7.12,0
SM4-A.2023-09-04 09:00:00,7.32,0,SM4-B.2023-09-04 09:00:00,8.26,0,SM4-C.2023-09-04 09:00:00,9.03,0,SM4-D.2023-09-04 09:00:00,7.78,0
SM4-A.2023-09-04 10:00:00,8.27,0,SM4-B.2023-09-04 10:00:00,9.13,0,SM4-C.2023-09-04 10:00:00,8.89,0,SM4-D.2023-09-04 10:00:00,8.77,0
SM4-A.2023-09-04 11:00:00,9.52,0,SM4-B.2023-09-04 11:00:00,10.05,0,SM4-C.2023-09-04 11:00:00,9.78,0,SM4-D.2023-09-04 11:00:00,9.42,0
SM4-A.2023-09-04 12:00:00,8.6,0,SM4-B.2023-09-04 12:00:00,9.22,0,SM4-C.2023-09-04 12:00:00,9.76,0,SM4-D.2023-09-04 12:00:00,8.49,0
SM4-A.2023-09-04 13:00:00,11.48,0,SM4-B.2023-09-04 13:00:00,11.39,0,SM4-C.2023-09-04 13:00:00,11.83,0,SM4-D.2023-09-04 13:00:00,9.49,0
SM4-A.2023-09-04 14:00:00,9.77,0,SM4-B.2023-09-04 14:00:00,10.68,0,SM4-C.2023-09-04 14:00:00,11.7,0,SM4-D.2023-09-04 14:00:00,8.95,0
SM4-A.2023-09-04 15:00:00,10.82,0,SM4-B.2023-09-04 15:00:00,11.95,0,SM4-C.2023-09-04 15:00:00,12.24,0,SM4-D.2023-09-04 15:00:00,10.6,0
SM4-A.2023-09-04 16:00:00,11.11,0,SM4-B.2023-09-04 16:00:00,11.54,0,SM4-C.2023-09-04 16:00:00,12.43,0,SM4-D.2023-09-04 16:00:00,9.91,0
SM4-A.2023-09-04 17:00:00,7.93,0,SM4-B.2023-09-04 17:00:00,8.79,0,SM4-C.2023-09-04 17:00:00,9.46,0,SM4-D.2023-09-04 17:00:00,7.01,0
SM4-A.2023-09-04 18:00:00,3.95,0,SM4-B.2023-09-04 18:00:00,3.23,0,SM4-C.2023-09-04 18:00:00,4.01,0,SM4-D.2023-09-04 18:00:00,3.9,0
